15.5.2024. 00:24:31|Entitet_1:4,9167996949641
15.5.2024. 00:24:35|Entitet_2:2,41467957523404
15.5.2024. 00:24:40|Entitet_0:0,930169959799466
15.5.2024. 00:24:45|Entitet_2:1,14628787009338
15.5.2024. 00:24:51|Entitet_1:2,11037443443685
15.5.2024. 00:24:55|Entitet_0:2,44011362616909
15.5.2024. 16:32:34|Entitet_0:2,59115986430606
15.5.2024. 16:32:40|Entitet_2:0,131009254344278
15.5.2024. 16:32:47|Entitet_1:1,09552559628874
15.5.2024. 16:32:54|Entitet_0:3,91583047756731
15.5.2024. 16:32:59|Entitet_1:0,575532322798638
15.5.2024. 16:33:03|Entitet_3:0,905271514530886
15.5.2024. 16:33:07|Entitet_1:4,37190797620542
15.5.2024. 16:33:11|Entitet_3:2,80960296516754
15.5.2024. 16:33:17|Entitet_0:3,40898400714574
15.5.2024. 16:33:22|Entitet_3:1,84667899610786
15.5.2024. 16:33:29|Entitet_3:2,20025986589038
15.5.2024. 16:33:34|Entitet_3:1,34481355433576
15.5.2024. 16:33:41|Entitet_3:0,321362466188782
15.5.2024. 16:33:46|Entitet_1:0,232012640401727
15.5.2024. 16:33:50|Entitet_0:5,15347645560907
15.5.2024. 16:33:55|Entitet_1:2,63365828176199
15.5.2024. 16:34:00|Entitet_3:5,18432131279461
15.5.2024. 16:34:06|Entitet_1:3,41290157059808
15.5.2024. 16:34:10|Entitet_0:2,25155774536149
15.5.2024. 16:34:14|Entitet_3:1,0124185245216
15.5.2024. 16:34:18|Entitet_3:3,8866771233532
15.5.2024. 16:34:23|Entitet_3:4,58155161505172
15.5.2024. 16:37:18|Entitet_1:0,955274411377159
15.5.2024. 16:37:24|Entitet_2:4,46388038281998
15.5.2024. 16:37:28|Entitet_3:3,41658761662272
15.5.2024. 16:37:35|Entitet_1:4,66844386293015
15.5.2024. 16:37:39|Entitet_3:1,66943933007747
15.5.2024. 16:37:45|Entitet_2:2,15476931301633
